,Name_and_model,Country,Engine,Engine_placement,Transmission,Weight_ratio,Bhp,Torque,Rarity
146,2018 Dodge Challenger SRT Demon,United States of America,6.2L Supercharged V8,Front-Engined,8-speed Transmission, 57%/43%,707 bhp (527 kW), 650 lb⋅ft (881 N·m),Rare
147,2015 Dodge Challenger SRT Hellcat,United States of America,7.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 54%/46%,425 bhp (317 kW), 490 lb⋅ft (664 N·m),Epic
148,1969 Dodge Charger Daytona HEMI,United States of America,7.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 54%/46%,425 bhp (317 kW), 490 lb⋅ft (664 N·m),Rare
149,1969 Dodge Charger R/T,United States of America,7.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 54%/46%,425 bhp (317 kW), 490 lb⋅ft (664 N·m),Rare
150,1969 Dodge Charger R/T,United States of America,6.2L Twin-Screw Supercharged V8,Front-Engined,8-speed Transmission, 54%/46%,707 bhp (527 kW), 650 lb⋅ft (881 N·m),Rare
151,2015 Dodge Charger SRT Hellcat,United States of America,7.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 58%/42%,425 bhp (317 kW), 490 lb⋅ft (664 N·m),Rare
152,1970 Dodge Coronet Super Bee,United States of America,7.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 54%/46%,425 bhp (317 kW), 490 lb⋅ft (664 N·m),Legendary
153,1968 Dodge Dart HEMI Super Stock,United States of America,6.4L Naturally-Aspirated V8,Front-Engined,8-speed Transmission, 52%/48%,475 bhp (354 kW), 470 lb⋅ft (637 N·m),Common
154,2018 Dodge Durango SRT,United States of America,6.1L Naturally-Aspirated V8,Front-Engined,5-speed Transmission, 53%/47%,425 bhp (317 kW), 420 lb⋅ft (569 N·m),Rare
155,2008 Dodge Magnum SRT-8,United States of America,8.4L Naturally-Aspirated V10,Front-Engined,6-speed Transmission, 49%/51%,640 bhp (477 kW), 600 lb⋅ft (813 N·m),Rare
156,2013 Dodge SRT Viper GTS,United States of America,8.4L Naturally-Aspirated V10,Front-Engined,6-speed Transmission, 49%/51%,640 bhp (477 kW), 600 lb⋅ft (813 N·m),Rare
157,2013 Dodge SRT Viper GTS,United States of America,8.4L Naturally-Aspirated V10,Front-Engined,6-speed Transmission, 50%/50%,645 bhp (481 kW), 600 lb⋅ft (813 N·m),Epic
158,2016 Dodge Viper ACR,United States of America,8.0L Naturally-Aspirated V10,Front-Engined,6-speed Transmission, 48%/52%,460 bhp (343 kW), 500 lb⋅ft (678 N·m),Legendary
159,1999 Dodge Viper GTS ACR,United States of America,8.4L Naturally-Aspirated V10,Front-Engined,6-speed Transmission, 49%/51%,600 bhp (447 kW), 560 lb⋅ft (760 N·m),Rare
160,2008 Dodge Viper SRT10 ACR,Netherlands,2.5L Twin-Charged I5,Front-Engined,5-speed Transmission, 48%/52%,375 bhp (280 kW), 350 lb⋅ft (475 N·m),Epic
161,2013 Donkervoort D8 GTO,United Kingdom,4.7L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 54%/46%,330 bhp (246 kW), 361 lb⋅ft (489 N·m),Legendary
162,2012 Eagle Speedster,United States of America,1.8L Turbocharged I4,Front-Engined,6-speed Transmission, 52%/48%,252 bhp (188 kW), 230 lb⋅ft (312 N·m),Rare
163,2018 Exomotive Exocet Off-Road,United States of America,1.8L Turbocharged I4,Front-Engined,6-speed Transmission, 52%/48%,252 bhp (188 kW), 230 lb⋅ft (312 N·m),Rare
164,2018 Exomotive Exocet Off-Road,Italy,4.0L Naturally-Aspirated V12,Mid-Engined,5-speed Transmission, 40%/60%,450 bhp (336 kW), 385 lb⋅ft (522 N·m),Legendary
165,1967 Ferrari 330 P4,Italy,3.9L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 42%/58%,661 bhp (493 kW), 561 lb⋅ft (761 N·m),Epic
166,2017 Ferrari 25 Corse Clienti 488 Challenge,Italy,3.0L Naturally-Aspirated V12,Front-Engined,5-speed Transmission, 52%/48%,262 bhp (195 kW), 188 lb⋅ft (255 N·m),Legendary
167,1957 Ferrari 250 California,Italy,3.0L Naturally-Aspirated V12,Front-Engined,5-speed Transmission, 52%/48%,254 bhp (189 kW), 215 lb⋅ft (292 N·m),Legendary
168,1962 Ferrari 250 GT Berlinetta Lusso,Italy,3.0L Naturally-Aspirated V12,Front-Engined,5-speed Transmission, 52%/48%,300 bhp (224 kW), 216 lb⋅ft (293 N·m),Legendary
169,1962 Ferrari 250 GTO,Italy,3.0L Naturally-Aspirated V12,Front-Engined,4-speed Transmission, 52%/48%,300 bhp (224 kW), 223 lb⋅ft (302 N·m),Legendary
170,1957 Ferrari 250 Testa Rossa,Italy,2.9L Twin-Turbocharged V8,Mid-Engined,5-speed Transmission, 47%/53%,395 bhp (295 kW), 366 lb⋅ft (496 N·m),Legendary
171,1984 Ferrari 288 GTO,Italy,3.0L Twin-Turbocharged Hybrid V6,Mid-Engined,8-speed Transmission, 41%/59%,818 bhp (610 kW), 664 lb⋅ft (900 N·m),Epic
172,2022 Ferrari 296 GTB,Italy,3.6L Naturally-Aspirated V8,Mid-Engined,6-speed Transmission, 43%/57%,409 bhp (305 kW), 275 lb⋅ft (373 N·m),Epic
173,2003 Ferrari 360 Challenge Stradale,Italy,4.4L Naturally-Aspirated V12,Front-Engined,5-speed Transmission, 52%/48%,405 bhp (302 kW), 365 lb⋅ft (495 N·m),Epic
174,1968 Ferrari 365 GTB/4,Italy,4.3L Naturally-Aspirated V8,Mid-Engined,6-speed Transmission, 43%/57%,503 bhp (375 kW), 346 lb⋅ft (469 N·m),Epic
175,2007 Ferrari 430 Scuderia,Italy,4.5L Naturally-Aspirated V8,Mid-Engined,7-speed Transmission, 42%/58%,562 bhp (419 kW), 398 lb⋅ft (540 N·m),Epic
176,2009 Ferrari 458 Italia,Italy,4.5L Naturally-Aspirated V8,Mid-Engined,7-speed Transmission, 42%/58%,597 bhp (445 kW), 398 lb⋅ft (540 N·m),Epic
177,2013 Ferrari 458 Speciale,Italy,3.9L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 42%/58%,660 bhp (492 kW), 560 lb⋅ft (760 N·m),Epic
178,2015 Ferrari 488 GTB,Italy,3.9L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 42%/58%,711 bhp (530 kW), 567 lb⋅ft (769 N·m),Epic
179,2019 Ferrari 488 Pista,Italy,4.9L Naturally-Aspirated V12,Mid-Engined,5-speed Transmission, 42%/58%,421 bhp (314 kW), 360 lb⋅ft (488 N·m),Epic
180,1992 Ferrari 512 TR,Italy,5.7L Naturally-Aspirated V12,Front-Engined,6-speed Transmission, 50%/50%,508 bhp (379 kW), 434 lb⋅ft (588 N·m),Epic
181,2002 Ferrari 575M Maranello,Italy,6.0L Naturally-Aspirated V12,Front-Engined,6-speed Transmission, 47%/53%,661 bhp (493 kW), 457 lb⋅ft (620 N·m),Epic
182,2010 Ferrari 599 GTO,Italy,6.0L Naturally-Aspirated V12,Front-Engined,6-speed Transmission, 47%/53%,691 bhp (515 kW), 479 lb⋅ft (650 N·m),Legendary
183,2010 Ferrari 599XX,Italy,6.0L Naturally-Aspirated V12,Front-Engined,6-speed Transmission, 47%/53%,740 bhp (552 kW), 516 lb⋅ft (700 N·m),Legendary
184,2012 Ferrari 599XX Evolution,Italy,6.5L Naturally-Aspirated V12,Front-Engined,7-speed Transmission, 47%/53%,788 bhp (588 kW), 529 lb⋅ft (717 N·m),Legendary
185,2017 Ferrari 812 Superfast,Italy,3.9L Twin-Turbocharged V8,Front-Engined,7-speed Transmission, 47%/53%,554 bhp (413 kW), 556 lb⋅ft (754 N·m),Epic
186,2014 Ferrari California T,Italy,2.4L Naturally-Aspirated V6,Mid-Engined,5-speed Transmission, 41%/59%,199 bhp (148 kW), 165 lb⋅ft (224 N·m),Epic
187,1969 Ferrari Dino 246 GT,Italy,6.0L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 44%/56%,650 bhp (485 kW), 485 lb⋅ft (658 N·m),Legendary
188,2002 Ferrari Enzo Ferrari,Italy,6.3L Naturally-Aspirated V12,Front-Engined,7-speed Transmission, 46%/54%,769 bhp (573 kW), 519 lb⋅ft (704 N·m),Epic
189,2015 Ferrari F12tdf,Italy,3.5L Naturally-Aspirated V8,Mid-Engined,6-speed Transmission, 41%/59%,375 bhp (280 kW), 268 lb⋅ft (363 N·m),Epic
190,1994 Ferrari F355 Berlinetta,Italy,2.9L Twin-Turbocharged V8,Mid-Engined,5-speed Transmission, 42%/58%,478 bhp (356 kW), 424 lb⋅ft (575 N·m),Legendary
191,1987 Ferrari F40,Italy,2.9L Twin-Turbocharged V8,Mid-Engined,5-speed Transmission, 42%/58%,691 bhp (515 kW), 526 lb⋅ft (713 N·m),Legendary
192,1989 Ferrari F40 Competizione,Italy,4.7L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 42%/58%,513 bhp (383 kW), 347 lb⋅ft (470 N·m),Legendary
193,1995 Ferrari F50,Italy,4.7L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 42%/58%,750 bhp (559 kW), 383 lb⋅ft (520 N·m),Legendary
194,1996 Ferrari F50 GT,Italy,3.9L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 42%/58%,711 bhp (530 kW), 567 lb⋅ft (769 N·m),Legendary
195,2020 Ferrari F8 Tributo,Italy,6.3L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 47%/53%,789 bhp (588 kW), 506 lb⋅ft (686 N·m),Legendary
196,2005 Ferrari FXX,Italy,6.3L Naturally-Aspirated Hybrid V12HY-KERS unit,Mid-Engined,7-speed Transmission, 41%/59%,1036 bhp (773 kW), 664 lb⋅ft (900 N·m),Legendary
197,2014 Ferrari FXX K,Italy,6.3L Naturally-Aspirated Hybrid V12HY-KERS unit,Mid-Engined,7-speed Transmission, 41%/59%,1036 bhp (773 kW), 663 lb⋅ft (899 N·m),Legendary
198,2018 Ferrari FXX-K Evo,Italy,6.3L Naturally-Aspirated V12,Front-Engined,7-speed Transmission, 47%/53%,680 bhp (507 kW), 514 lb⋅ft (697 N·m),Epic
199,2017 Ferrari GTC4Lusso,Italy,3.9L Twin-Turbocharged V8,Rear-Engined,7-speed Transmission, 42%/58%,681 bhp (508 kW), 560 lb⋅ft (759 N·m),Legendary
200,2017 Ferrari J50,Italy,6.3L Naturally-Aspirated Hybrid V12HY-KERS unit,Mid-Engined,7-speed Transmission, 41%/59%,949 bhp (708 kW), 663 lb⋅ft (900 N·m),Legendary
201,2013 Ferrari LaFerrari,Italy,6.5L Naturally-Aspirated V12,Front-Engined,7-speed Transmission, 48%/52%,799 bhp (596 kW), 530 lb⋅ft (719 N·m),Legendary
202,2019 Ferrari Monza SP2,Italy,3.9L Twin-Turbocharged V8,Front-Engined,7-speed Transmission, 46%/54%,591 bhp (441 kW), 560 lb⋅ft (759 N·m),Epic
203,2018 Ferrari Portofino,Italy,3.9L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 50%/50%,612 bhp (456 kW), 561 lb⋅ft (760 N·m),Epic
204,2020 Ferrari Roma,Italy,4.0L Twin-Turbocharged Hybrid V8,Mid-Engined,8-speed Transmission, 45%/55%,986 bhp (735 kW), 912 lb⋅ft (1237 N·m),Legendary
205,2020 Ferrari SF90 Stradale,Italy,2.0L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 54%/46%,102 bhp (76 kW), 110 lb⋅ft (149 N·m),Common
206,1980 FIAT 124 Sport Spider,United States of America,7.0L Naturally-Aspirated V8,Mid-Engined,4-speed Transmission, 38%/62%,485 bhp (362 kW), 475 lb⋅ft (644 N·m),Legendary
207,1966 Ford GT40 Mk II,United States of America,2.0L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 50%/50%,255 bhp (190 kW), 175 lb⋅ft (237 N·m),Epic
208,1977 Ford 5 Escort RS1800 MK II,United States of America,7.5L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 60%/40%,850 bhp (634 kW), 690 lb⋅ft (936 N·m),Epic
209,2014 Ford 11 Rockstar F-150 Trophy Truck,United States of America,2.0L Turbocharged I4,Front-Engined,info_not_found, 54%/46%,600 bhp (447 kW), 664 lb⋅ft (900 N·m),Epic
210,2017 Ford 14 Rahal Letterman Lanigan Racing GRC Fiesta,United States of America,7.0L Naturally-Aspirated V8 (Z427),Front-Engined,3-speed Transmission, 52%/48%,600 bhp (447 kW), 558 lb⋅ft (757 N·m),Epic
211,2017 Ford 25 %22Brocky%22 Ultra4 Bronco RTR,United States of America,7.2L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 51%/49%,1000 bhp (746 kW), 737 lb⋅ft (999 N·m),Epic
212,2018 Ford Mustang RTR,United States of America,7.2L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 51%/49%,1000 bhp (746 kW), 737 lb⋅ft (999 N·m),Epic
213,2018 Ford Mustang RTR,United States of America,2.7L Twin-Turbocharged V6,Front-Engined,10-speed Transmission, 49%/51%,325 bhp (242 kW), 400 lb⋅ft (542 N·m),Epic
214,2020 Ford 2069 Ford Performance Bronco R,United States of America,2.7L Twin-Turbocharged V6,Front-Engined,10-speed Transmission, 49%/51%,325 bhp (242 kW), 400 lb⋅ft (542 N·m),Epic
215,2020 Ford 2069 Ford Performance Bronco R,United Kingdom,1.0L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 50%/50%,39 bhp (29 kW), 52 lb⋅ft (71 N·m),Common
216,1959 Ford Anglia 105E,United States of America,4.9L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 55%/45%,205 bhp (153 kW), 300 lb⋅ft (407 N·m),Common
217,1975 Ford Bronco,United States of America,2.7L Twin-Turbocharged V6,Front-Engined,10-speed Transmission, 55%/45%,310 bhp (231 kW), 400 lb⋅ft (542 N·m),Rare
218,2021 Ford Bronco (2021),United States of America,3.1L Naturally-Aspirated V6,Front-Engined,4-speed Transmission, 53%/47%,148 bhp (110 kW), 187 lb⋅ft (254 N·m),Rare
219,1973 Ford Capri RS3100,United States of America,4.6L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 55%/45%,250 bhp (186 kW), 297 lb⋅ft (403 N·m),Common
220,2010 Ford Crown Victoria Police Interceptor,United States of America,3.6L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 54%/46%,85 bhp (63 kW), 155 lb⋅ft (210 N·m),Common
221,1940 Ford De Luxe Coupe,United States of America,3.6L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 54%/46%,65 bhp (48 kW), 130 lb⋅ft (176 N·m),Common
222,1932 Ford De Luxe Five-Window Coupe,United States of America,3.6L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 54%/46%,65 bhp (48 kW), 130 lb⋅ft (176 N·m),Common
223,1932 Ford De Luxe Five-Window Coupe,United States of America,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 56%/44%,224 bhp (167 kW), 224 lb⋅ft (304 N·m),Rare
224,1992 Ford Escort RS Cosworth,United States of America,1.6L Turbocharged I4,Front-Engined,5-speed Transmission, 61%/39%,130 bhp (97 kW), 133 lb⋅ft (180 N·m),Common
225,1986 Ford Escort RS Turbo,United States of America,1.6L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 54%/46%,113 bhp (84 kW), 110 lb⋅ft (149 N·m),Rare
226,1973 Ford Escort RS1600,United States of America,1.8L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 54%/46%,115 bhp (86 kW), 126 lb⋅ft (171 N·m),Rare
227,1977 Ford Escort RS1800,United States of America,4.5L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 58%/42%,173 bhp (129 kW), 260 lb⋅ft (353 N·m),Legendary
228,1956 Ford F-100,United States of America,3.5L Twin-Turbocharged V6,Front-Engined,10-speed Transmission, 57%/43%,450 bhp (336 kW), 510 lb⋅ft (691 N·m),Common
229,2017 Ford F-150 Raptor (2017),United States of America,6.2L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 57%/43%,411 bhp (306 kW), 434 lb⋅ft (588 N·m),Rare
230,2011 Ford F-150 SVT Raptor,United States of America,5.0L Supercharged V8,Front-Engined,6-speed Transmission, 54%/46%,471 bhp (351 kW), 420 lb⋅ft (570 N·m),Common
231,2015 Ford Falcon GT F 351,United States of America,5.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 55%/45%,410 bhp (306 kW), 364 lb⋅ft (494 N·m),Rare
232,1972 Ford Falcon XA GT-HO,United States of America,1.6L Turbocharged I4,Front-Engined,6-speed Transmission, 61%/39%,197 bhp (147 kW), 202 lb⋅ft (274 N·m),Common
233,2014 Ford Fiesta ST,United States of America,1.6L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 60%/40%,84 bhp (63 kW), 91 lb⋅ft (123 N·m),Epic
234,1981 Ford Fiesta XR2,United States of America,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 63%/37%,212 bhp (158 kW), 228 lb⋅ft (309 N·m),Common
235,2003 Ford Focus RS (2003),United States of America,2.5L Turbocharged I5,Front-Engined,6-speed Transmission, 62%/38%,300 bhp (224 kW), 318 lb⋅ft (431 N·m),Common
236,2009 Ford Focus RS (2009),United States of America,2.3L Turbocharged I4,Front-Engined,6-speed Transmission, 59%/41%,350 bhp (261 kW), 350 lb⋅ft (475 N·m),Epic
237,2017 Ford Focus RS (2017),United States of America,5.0L Supercharged V8,Front-Engined,6-speed Transmission, 53%/47%,422 bhp (315 kW), 402 lb⋅ft (545 N·m),Common
238,2014 Ford FPV Limited Edition Pursuit Ute,United States of America,5.4L Twin-Screw Supercharged V8,Mid-Engined,6-speed Transmission, 43%/57%,550 bhp (410 kW), 500 lb⋅ft (678 N·m),Epic
239,2005 Ford GT (2005),United States of America,3.5L Twin-Turbocharged V6,Mid-Engined,7-speed Transmission, 43%/57%,630 bhp (470 kW), 539 lb⋅ft (731 N·m),Epic
240,2017 Ford GT (2017),United States of America,3.5L Twin-Turbocharged V6,Mid-Engined,7-speed Transmission, 43%/57%,630 bhp (470 kW), 539 lb⋅ft (731 N·m),Epic
241,2017 Ford GT (2017),United States of America,4.7L Naturally-Aspirated V8,Mid-Engined,5-speed Transmission, 39%/61%,390 bhp (291 kW), 345 lb⋅ft (468 N·m),Legendary
242,1964 Ford GT40 Mk I,United States of America,2.0L Naturally-Aspirated I4,Mid-Engined,5-speed Transmission, 44%/56%,200 bhp (149 kW), 155 lb⋅ft (210 N·m),Rare
243,1970 Ford GT70,United States of America,1.6L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 52%/48%,115 bhp (86 kW), 108 lb⋅ft (146 N·m),Common
244,1966 Ford Lotus Cortina,United States of America,1.6L Turbocharged I4,Front-Engined,6-speed Transmission, 53%/47%,375 bhp (280 kW), 332 lb⋅ft (450 N·m),Epic
245,2017 Ford M-Sport Fiesta RS,United States of America,4.9L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 56%/44%,290 bhp (216 kW), 290 lb⋅ft (393 N·m),Rare
246,1969 Ford Mustang Boss 302,United States of America,5.0L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 53%/47%,460 bhp (343 kW), 420 lb⋅ft (569 N·m),Common
247,2018 Ford Mustang GT (2018),United States of America,6.4L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 57%/43%,325 bhp (242 kW), 427 lb⋅ft (579 N·m),Legendary
248,1968 Ford Mustang 2%2B2 Fastback,United States of America,4.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 56%/44%,271 bhp (202 kW), 312 lb⋅ft (423 N·m),Rare
249,1965 Ford Mustang GT Coupe,United States of America,7.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 60%/40%,376 bhp (280 kW), 450 lb⋅ft (610 N·m),Epic
250,1971 Ford Mustang Mach 1,United States of America,7x Electric Motors,Mid-Engined,1-speed Transmission, 48%/52%,1400 bhp (1044 kW), 1832 lb⋅ft (2484 N·m),Legendary
251,2021 Ford Mustang Mach-E 1400,United States of America,5.0L Naturally-Aspirated V8,Front-Engined,10-speed Transmission, 54%/46%,460 bhp (343 kW), 420 lb⋅ft (569 N·m),Rare
252,2018 Ford Mustang RTR Spec 5,United States of America,5.2L Supercharged V8,Front-Engined,7-speed Transmission, 56%/44%,760 bhp (567 kW), 625 lb⋅ft (847 N·m),Rare
253,2020 Ford Mustang Shelby GT500,United States of America,1.8L Naturally-Aspirated I4 (Cosworth BDA),Front-Engined,4-speed Transmission, 52%/48%,200 bhp (149 kW), 160 lb⋅ft (217 N·m),Legendary
254,1967 Ford Racing Escort Mk1,United States of America,1.7L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 59%/41%,153 bhp (114 kW), 119 lb⋅ft (161 N·m),Rare
255,1999 Ford Racing Puma,United States of America,1.7L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 59%/41%,153 bhp (114 kW), 119 lb⋅ft (161 N·m),Rare
256,1999 Ford Racing Puma,United States of America,2.0L Twin-Turbocharged I4,Front-Engined,10-speed Transmission, 57%/43%,211 bhp (157 kW), 368 lb⋅ft (499 N·m),Epic
257,2019 Ford Ranger Raptor,United States of America,4.9L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 55%/45%,349 bhp (260 kW), 413 lb⋅ft (560 N·m),Epic
258,2014 Ford Ranger T6 Rally Raid,United States of America,2.1L Turbocharged I4,Mid-Engined,5-speed Transmission, 50%/50%,506 bhp (377 kW), 401 lb⋅ft (544 N·m),Epic
259,1985 Ford RS200 Evolution,United States of America,5.2L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 53%/47%,526 bhp (392 kW), 429 lb⋅ft (582 N·m),Rare
260,2016 Ford Shelby GT350R,United States of America,5.8L Twin-Screw Supercharged V8,Front-Engined,6-speed Transmission, 57%/43%,662 bhp (494 kW), 631 lb⋅ft (856 N·m),Rare
261,2013 Ford Shelby GT500 (2013),United States of America,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 51%/49%,224 bhp (167 kW), 206 lb⋅ft (279 N·m),Rare
262,1987 Ford Sierra Cosworth RS500,United States of America,3.9L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 52%/48%,100 bhp (75 kW), 180 lb⋅ft (244 N·m),Common
263,1946 Ford Super Deluxe Station Wagon,United States of America,6.7L Turbocharged V8 (Power Stroke),Front-Engined,10-speed Transmission, 55%/45%,475 bhp (354 kW), 1050 lb⋅ft (1424 N·m),Common
264,2020 Ford Super Duty F-450 DRW Platinum,United States of America,3.0L Naturally-Aspirated V6,Mid-Engined,5-speed Transmission, 45%/55%,295 bhp (220 kW), 283 lb⋅ft (384 N·m),Epic
265,1994 Ford Supervan 3,United States of America,4.9L Naturally-Aspirated V8,Front-Engined,5-speed Transmission, 57%/43%,235 bhp (175 kW), 280 lb⋅ft (380 N·m),Common
266,1993 Ford SVT Cobra R (1993),United States of America,5.4L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 57%/43%,385 bhp (287 kW), 385 lb⋅ft (522 N·m),Common
267,2000 Ford SVT Cobra R (2000),United States of America,1.7L Naturally-Aspirated V4,Front-Engined,info_not_found, 52%/48%,73 bhp (54 kW), 91 lb⋅ft (123 N·m),Common
268,1965 Ford Transit,United States of America,3.2L Turbocharged I5,Front-Engined,6-speed Transmission, 60%/40%,198 bhp (148 kW), 346 lb⋅ft (469 N·m),Rare
269,2011 Ford Transit SuperSportVan,United States of America,5.8L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 59%/41%,300 bhp (224 kW), 380 lb⋅ft (515 N·m),Rare
270,1973 Ford XB Falcon GT,United States of America,5.0L Supercharged V8,Front-Engined,4-speed Transmission, 52%/48%,986 bhp (735 kW), 832 lb⋅ft (1128 N·m),Epic
271,2015 Formula Drift 13 Ford Mustang,United States of America,3.4L Turbocharged I6 (2JZ-GE),Front-Engined,5-speed Transmission, 49%/51%,1035 bhp (772 kW), 920 lb⋅ft (1247 N·m),Epic
272,1995 Formula Drift 34 Toyota Supra MkIV,United States of America,8.3L Twin-Turbocharged V10,Front-Engined,4-speed Transmission, 50%/50%,1350 bhp (1007 kW), 1400 lb⋅ft (1898 N·m),Epic
273,2006 Formula Drift 43 Dodge Viper SRT10,United States of America,4.0L Twin-Turbocharged V6,Front-Engined,6-speed Transmission, 51%/49%,1015 bhp (757 kW), 845 lb⋅ft (1146 N·m),Epic
274,2018 Formula Drift 64 Nissan 370Z,United States of America,6.2L Naturally-Aspirated V8 (LS7),Front-Engined,6-speed Transmission, 49%/51%,822 bhp (613 kW), 678 lb⋅ft (919 N·m),Epic
275,2020 Formula Drift 91 BMW M2,United States of America,6.2L Supercharged V8,Front-Engined,4-speed Transmission, 53%/47%,750 bhp (559 kW), 750 lb⋅ft (1017 N·m),Epic
276,1989 Formula Drift 98 BMW 325i,United States of America,2.0L Turbocharged 3-Rotor Rotary (20B),Front-Engined,5-speed Transmission, 55%/45%,1000 bhp (746 kW), 566 lb⋅ft (767 N·m),Epic
277,2009 Formula Drift 99 Mazda RX-8,Italy,6.0L Supercharged V12,Front-Engined,6-speed Transmission, 47%/53%,917 bhp (684 kW), 756 lb⋅ft (1025 N·m),Epic
278,2007 Formula Drift 117 599 GTB Fiorano,United States of America,3.0L Turbocharged I6 (B58),Front-Engined,4-speed Transmission, 48%/52%,1033 bhp (770 kW), 908 lb⋅ft (1231 N·m),Epic
279,2020 Formula Drift 151 Toyota GR Supra,United States of America,6.2L Supercharged V8 (LT4),Front-Engined,7-speed Transmission, 50%/50%,825 bhp (615 kW), 825 lb⋅ft (1119 N·m),Epic
280,2017 Formula Drift 357 Chevrolet Corvette Z06,United States of America,2.7L Turbocharged I4 (2AR-FE),Front-Engined,6-speed Transmission, 54%/46%,1185 bhp (884 kW), 867 lb⋅ft (1175 N·m),Epic
281,2019 Formula Drift 411 Toyota Corolla Hatchback,United States of America,6.2L Supercharged V8,Front-Engined,6-speed Transmission, 55%/45%,1000 bhp (746 kW), 900 lb⋅ft (1220 N·m),Epic
282,2016 Formula Drift 530 HSV Maloo Gen-F,United States of America,7.0L Supercharged V8,Front-Engined,6-speed Transmission, 50%/50%,1050 bhp (783 kW), 850 lb⋅ft (1152 N·m),Epic
283,2013 Formula Drift 777 Chevrolet Corvette,United States of America,7.0L Supercharged V8 (LSX),Front-Engined,4-speed Transmission, 50%/50%,1251 bhp (933 kW), 1118 lb⋅ft (1516 N·m),Epic
284,1997 Formula Drift 777 Nissan 240SX,United States of America,2.5L Turbocharged I6 (RB25DET),Front-Engined,5-speed Transmission, 51%/49%,424 bhp (316 kW), 354 lb⋅ft (480 N·m),Rare
285,1975 Forsberg Racing Nissan %22Gold Leader%22 Datsun 280Z,United States of America,3.4L Turbocharged I6 (2JZ-GTE),Front-Engined,4-speed Transmission, 53%/47%,850 bhp (634 kW), 740 lb⋅ft (1003 N·m),Rare
286,2010 Forsberg Racing Toyota Gumout 2JZ Camry Stock Car,Canada,7.4L Twin-Turbocharged V8,Rear-Engined,5-speed Transmission, 33%/67%,1750 bhp (1305 kW), 1475 lb⋅ft (2000 N·m),Epic
287,2018 Funco Motorsports F9,United States of America,5.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 55%/45%,300 bhp (224 kW), 335 lb⋅ft (454 N·m),Legendary
288,1970 GMC Jimmy,United States of America,4.3L Turbocharged V6,Front-Engined,4-speed Transmission, 63%/37%,280 bhp (209 kW), 360 lb⋅ft (488 N·m),Epic
289,1991 GMC Syclone,United States of America,4.3L Turbocharged V6,Front-Engined,4-speed Transmission, 57%/43%,280 bhp (209 kW), 360 lb⋅ft (488 N·m),Epic
